,"Площадь
территории, 
тыс. км2","Численность 
 населения 
на 1 января 
2021 г., 
тыс. человек","Средне-
годовая численность
занятых, 
тыс. человек","Средне-
душевые денежные доходы 
(в месяц), руб.","Потреби-
тельские расходы
в среднем 
на душу населения 
(в месяц), руб.
","Средне-
месячная 
номиналь-
ная начис-
ленная 
заработная плата работников организаций, руб.","Валовой 
региональ-
ный
 продукт 
в 2019 г. ,
млрд руб.","Инвестиции 
в основной 
капитал, 
млрд руб.","Основные 
фонды в экономике 
(по полной учетной стоимости; на конец года),
млрд руб.","Объем отгруженных товаров собственного производства, выполненных работ и услуг собственными силами по видам экономической деятельности, 
млрд руб.",,,,"Продукция 
сельского 
хозяйства - 
всего,
млрд руб.",в том числе,,"Ввод 
в действие 
жилых домов,
тыс. м2 
общей 
площади 
жилых 
помещений","Оборот 
розничной 
торговли, 
млрд руб.
","Сальдированный финансовый результат (прибыль минус убыток) деятельности организаций5), 
млрд руб."
,,,,,,,,,,"добыча 
полезных 
ископаемых","обрабаты-
вающие производства","обеспечение электрической энергией, газом и паром; кондиционирование воздуха","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",,"растение-
водства","животно-
водства",,,
Свердловская область ,"194,3","4 290,0","1 954,9",37 374,29 868,43 256,"2 529,5","381,1","8 183,2","92,5","2 072,2","245,2","77,6","93,6","35,8","57,8","2 372,4","1 117,6","272,3"
Тюменская область,"1 464,2","3 778,1","2 196,0",50 059,32 659,78 619,"8 919,1","2 403,6","34 899,5","5 200,2","1 527,1","328,0","55,8","87,5","32,6","54,9","2 741,5","990,7","1 017,7"
в том числе:,,,,,,,,,,,,,,,,,,,
Ханты-Мансийский автономный округ -- Югра,"534,8","1 687,7","1 066,1",54 443,34 083,79 822,"4 563,1","1 034,9","15 853,2","2 659,1","567,9","215,7","23,8","10,3","6,1","4,2","993,3","433,9","893,9"
,,,,,,,,,,,,,,,,,,,
Ямало-Ненецкий автономный округ,"769,3","547,0","417,2",89 928,35 009,111 216,"3 100,5","1 075,3","14 666,5","2 357,9","307,5","53,3","13,6","3,1","0,1","3,0","166,9","143,6","48,7"
,,,,,,,,,,,,,,,,,,,
Тюменская область без автономных округов,"160,1","1 543,4","712,7",31 151,30 274,51 501,"1 255,5","293,4","4 379,8","183,2","651,7","59,0","18,5","74,1","26,4","47,7","1 581,3","413,2","75,1"
,,,,,,,,,,,,,,,,,,,
Челябинская область,"88,5","3 442,8","1 717,0",26 628,20 457,39 349,"1 545,6","322,2","5 810,1","139,6","1 412,2","129,5","37,2","113,5","36,6","76,9","1 572,3","598,9","173,0"
Сибирский федеральный округ,"4 361,7","17 003,9","7 572,0",27 972,20 767,44 226,"9 178,6","1 913,7","26 548,1","2 159,7","4 982,6","670,1","185,1","673,0","340,7","332,3","7 488,3","2 944,6","1 524,1"
,,,,,,,,,,,,,,,,,,,
Республика Алтай,"92,9","221,0","80,6",21 677,15 154,36 269,"59,0","13,3","189,0","0,9","4,5","2,7","0,6","11,9","2,3","9,6","88,8","29,9","19,6"
Республика Тыва,"168,6","330,4","101,9",18 972,10 668,44 104,"79,2","17,9","220,9","16,9","0,6","5,5","0,4","8,1","1,4","6,7","111,0","25,3","-0,8"
Республика Хакасия,"61,6","532,0","207,6",23 837,20 781,43 800,"256,3","34,5","850,2","72,4","106,4","56,1","2,2","14,2","5,1","9,1","287,6","93,6","2,3"
Алтайский край,"168,0","2 296,4","976,0",23 864,17 672,30 072,"630,8","121,8","1 392,3","9,1","361,9","44,7","10,5","163,2","102,0","61,2","826,3","354,3","59,4"
