,z_nfm,zc1.1,zc6,zc5,zc9.7.2a,zc9.7.3a,zc9.7.1a,zc9.8a,zc9.101a,zc9.12a,ze1.1c,ze4,ze9.8b,ze11,ze12,ze44,ze14,ze16,zf12_a,zf14.8,zf14.12,zf14
4004,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,37.0,18.0,Нет,Нет,Нет,Нет,Нет,Нет,,15000.0,150.0,2100.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Полгода и больше,Нет,Нет,32000.0
4005,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,110.0,72.0,Нет,Да,Нет,Нет,Нет,Нет,100.0,15000.0,3000.0,8420.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,Несколько месяцев,Нет,Нет,42000.0
4006,2.0,5000000.0,23.7,18.7,Нет,Да,Нет,Нет,Нет,Да,70.0,30000.0,1600.0,4000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Да,Несколько месяцев,Нет,Нет,116300.0
4007,4.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,83.0,55.0,Нет,Да,Нет,Нет,Да,Нет,200.0,30000.0,2500.0,11000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше недели,Нет,Нет,134000.0
4008,3.0,3000000.0,40.5,23.5,Нет,Нет,Нет,Нет,Нет,Да,36.0,30000.0,2000.0,5000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Не больше месяца,Нет,Нет,85000.0
4009,2.0,2000000.0,44.0,30.0,Нет,Нет,Нет,Нет,Нет,Нет,40.0,25000.0,1000.0,3500.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Несколько месяцев,Нет,Нет,70250.0
4010,4.0,11000000.0,59.0,44.3,Нет,Нет,Нет,Нет,Нет,Да,70.0,32000.0,1200.0,7000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Не больше месяца,Нет,Нет,121000.0
4011,4.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,28.4,27.3,Да,Да,Нет,Нет,Да,Да,270.0,25000.0,3300.0,6100.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Не больше двух недель,Нет,Нет,150000.0
4012,1.0,6000000.0,36.0,19.0,Нет,Нет,Нет,Нет,Нет,Нет,47.0,17000.0,500.0,5000.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Несколько месяцев,Да,Да,53000.0
4013,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,48.5,31.5,Нет,Нет,Нет,Нет,Да,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,30000.0,1000.0,7000.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Нет,Не больше месяца,Нет,Нет,70000.0
4014,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,48.3,33.5,Нет,Нет,Нет,Нет,Да,Нет,,12000.0,160.0,5000.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Да,Не больше месяца,Нет,Нет,35000.0
4015,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,34.4,18.8,Нет,Нет,Нет,Нет,Нет,Нет,120.0,15000.0,,5000.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,Не больше недели,Нет,Нет,40000.0
4016,1.0,5000000.0,38.0,20.0,Нет,Нет,Нет,Нет,Нет,Нет,150.0,10000.0,150.0,3500.0,Нет,"Не сортирует, но хотела бы",Да,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,Несколько месяцев,Нет,Нет,33000.0
4017,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,78.1,49.0,Нет,Нет,Нет,Нет,Да,Да,47.0,15000.0,400.0,6000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше месяца,Нет,Нет,36064.0
4018,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,52.0,34.0,Нет,Нет,Нет,Нет,Нет,Нет,36.0,10000.0,100.0,5300.0,Нет,НЕТ ОТВЕТА,Нет,Нет,Не больше месяца,Нет,Нет,22000.0
4019,4.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,56.0,34.0,Нет,Да,Нет,Нет,Да,Нет,280.0,30000.0,2000.0,5900.0,Нет,"Не сортирует, так как не считает нужным",Нет,Нет,Не больше двух недель,Нет,Нет,80000.0
4020,4.0,8000000.0,54.0,34.0,Нет,Да,Нет,Нет,Да,Нет,240.0,30000.0,2600.0,6300.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,Не больше месяца,Нет,Нет,58000.0
4021,3.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,34.3,19.4,Нет,Да,Нет,Нет,Нет,Нет,100.0,40000.0,850.0,6000.0,Нет,"Не сортирует, так как нет возможности потом его раздельно выбрасывать в общественные контейнеры",Нет,Нет,Не больше месяца,Нет,Нет,65000.0
4022,2.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,38.2,22.8,Нет,Нет,Нет,Нет,Да,Нет,240.0,20000.0,500.0,5250.0,Нет,"Не сортирует, но хотела бы",Нет,Нет,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,Нет,Нет,42500.0
4023,1.0,ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,63.6,45.1,Да,Нет,Нет,Нет,Нет,Нет,,20000.0,1500.0,8000.0,Нет,Сортирует пищевой и непищевой мусор,Нет,Да,Не больше месяца,Нет,Нет,163000.0
4024,1.0,9500000.0,59.9,39.0,Нет,Да,Нет,Нет,Нет,Нет,39.0,20000.0,690.0,5000.0,Нет,"Не сортирует, так как не считает нужным",Нет,Да,Несколько месяцев,Нет,Нет,85000.0
